id,name,display_name,active,brand_id,brand_name,strain_id,strain_name,product_type_id,product_type_name,product_family_id,product_family_name,flower_type,concentrate_type,description,instructions,ingredients,allergens,solvent,servings,pack_size,weight,weight_unit,cost,min_reorder_qty,test_result_unit,thc,cbd,thc_per_serving,cbd_per_serving,sku_reference,quantity_on_hand,image_url,source
,Black Lime Reserve - Flower [Phat Panda],Black Lime Reserve - Flower [Phat Panda],true,,phat panda,,black lime reserve,,Flower,,,,,"Northern Lights x Purple Kush x Chemdawg Special Reserve - (Flavors: Lemon, Pine & Spicy), (Effects: Creative, Sociable & Relaxing), (Aromas: Pine, Woody & Citrus)",,,,,,,,,,,,,,,,,,,
,Black Out - Flower [Phat Panda],Black Out - Flower [Phat Panda],true,,phat panda,,black out,,Flower,,,,,"Black Russian x Secret OG #10 - (Flavors: Earthy, Peppery & Sage), (Effects: Motivation, Relaxing & Happy), (Aromas: Spicy, Berry & Earthy)",,,,,,,,,,,,,,,,,,,
,Black Zoap - Flower [Phat Panda],Black Zoap - Flower [Phat Panda],true,,phat panda,,black zoap,,Flower,,,,,"Rainbow Sherbet x Pink Guava - (Flavors: Cherry, Earthy & Creamy), (Effects: Calming, Sociable & Uplifting), (Aromas: Earthy, Citrus & Gassy)",,,,,,,,,,,,,,,,,,,
,Blueberry Bubblegum - Flower [Phat Panda],Blueberry Bubblegum - Flower [Phat Panda],true,,phat panda,,blueberry bubblegum,,Flower,,,,,"Bubblegum x Blueberry - (Flavors: Gassy, Earthy & Berry), (Effects: Hungry, Happy & Euphoria), (Aromas: Gassy, Fruity & Earthy)",,,,,,,,,,,,,,,,,,,
,Blueberry Diesel - Flower [Phat Panda],Blueberry Diesel - Flower [Phat Panda],true,,phat panda,,blueberry diesel,,Flower,,,,,"Banana Punch x Lemonade - (Flavors: Sweet, Citrus & Gassy), (Effects: Energetic, Focused & Giggly), (Aromas: Hashy, Pine & Woody)",,,,,,,,,,,,,,,,,,,
,Bluezzz - Flower [Phat Panda],Bluezzz - Flower [Phat Panda],true,,phat panda,,bluezzz,,Flower,,,,,"Blue Dream x OG Kush - (Flavors: Lemon, Pine & Woody), (Effects: Uplifting, Creative & Focused), (Aromas: Lemon, Spicy & Earthy)",,,,,,,,,,,,,,,,,,,
,Bone Collector - Flower [Phat Panda],Bone Collector - Flower [Phat Panda],true,,phat panda,,bone collector,,Flower,,,,,"MAC x Cowgod - (Flavors: Spicy, Sweet & Berry), (Effects: Giggly, Relaxing & Uplifting), (Aromas: Creamy, Flowery & Herbal)",,,,,,,,,,,,,,,,,,,
,Bonkers - Flower [Phat Panda],Bonkers - Flower [Phat Panda],true,,phat panda,,bonkers,,Flower,,,,,"High Life x Trophy Wife - (Flavors: Lemon, Nutty & Creamy), (Effects: Hungry, Mellow & Sociable), (Aromas: Sour, Spicy & Lemon)",,,,,,,,,,,,,,,,,,,
,Bop Gun - Flower [Phat Panda],Bop Gun - Flower [Phat Panda],true,,phat panda,,bop gun,,Flower,,,,,"Dosidos x Papaya - (Flavors: Creamy, Lemon & Woody), (Effects: Relaxing, Creative & Giggly), (Aromas: Earthy, Skunky & Sweet)",,,,,,,,,,,,,,,,,,,
,Cake N' Bake - Flower [Phat Panda],Cake N' Bake - Flower [Phat Panda],true,,phat panda,,cake n' bake,,Flower,,,,,"MAC 1 x Redneck Wedding - (Flavors: Creamy, Nutty & Peppery), (Effects: Calming, Happy & Drowsy), (Aromas: Woody, Pine & Spicy)",,,,,,,,,,,,,,,,,,,
,Cake Stomper - Flower [Phat Panda],Cake Stomper - Flower [Phat Panda],true,,phat panda,,cake stomper,,Flower,,,,,"MAC Stomper x Sugar Baby - (Flavors: Nutty, Spicy & Sweet), (Effects: Happy, Relaxing & Drowsy), (Aromas: Herbal, Nutty & Sour)",,,,,,,,,,,,,,,,,,,
,Cake Walk - Flower [Phat Panda],Cake Walk - Flower [Phat Panda],true,,phat panda,,cake walk,,Flower,,,,,"Kush Mintz x Trophy Wife - (Flavors: Pine, Sweet & Woody), (Effects: Happy, Uplifting & Euphoric), (Aromas:  Herbal, Earthy & Sour)",,,,,,,,,,,,,,,,,,,
,Canasta - Flower [Phat Panda],Canasta - Flower [Phat Panda],true,,phat panda,,canasta,,Flower,,,,,"Papaya x Meatbreah - (Flavors: Lemon, Pine & Woody), (Effects: Relaxing, Motivation & Creative), (Aromas: Herbal, Sweet & Peppery)",,,,,,,,,,,,,,,,,,,
,Candy Gas - Flower [Phat Panda],Candy Gas - Flower [Phat Panda],true,,phat panda,,candy gas,,Flower,,,,,"Kandy Kush x The OG #18 - (Flavors: Creamy, Gassy, & Sweet), (Effects: Relaxing, Focused & Calming), (Aromas: Pungent, Gassy & Citrus)",,,,,,,,,,,,,,,,,,,
,Canna Tsu - Flower [Phat Panda],Canna Tsu - Flower [Phat Panda],true,,phat panda,,canna tsu,,Flower,,,,,"Cannatonic x Sour Tsunami - (Flavors: Woody, Earthy & Citrus), (Effects: Relaxing, Focucsed & Uplifting), (Aromas: Earthy, Flowery & Spicy)",,,,,,,,,,,,,,,,,,,
,Carica Nectar - Flower [Phat Panda],Carica Nectar - Flower [Phat Panda],true,,phat panda,,carica nectar,,Flower,,,,,"Lime Kush x Chem Diesel x Sour Diesel - (Flavors: Peppery, Citrus & Herbal), (Effects: Calming, Energetic & Relaxed)",,,,,,,,,,,,,,,,,,,
,Cenex - Flower [Phat Panda],Cenex - Flower [Phat Panda],true,,phat panda,,cenex,,Flower,,,,,"Cinderella 99 x Vortex - (Flavors: Citrus, Sweet & Sour), (Effects: Uplifting, Happy & Sociable), (Aromas: Citrus, Pungent & Earthy)",,,,,,,,,,,,,,,,,,,
,Cheetah Piss - Flower [Phat Panda],Cheetah Piss - Flower [Phat Panda],true,,phat panda,,cheetah piss,,Flower,,,,,"Lemonnade x Gelato x London Pound Cake - (Flavors: Creamy, Lemon & Sour), (Effects: Aroused, Creative & Sociable), (Aromas: Gassy, Pungent & Sour)",,,,,,,,,,,,,,,,,,,
,Cherry Bomb - Flower [Phat Panda],Cherry Bomb - Flower [Phat Panda],true,,phat panda,,cherry bomb,,Flower,,,,,"Purple Punch x Cherry Temple - (Flavors: Berry, Woody & Sweet), (Effects: Happy, Calming & Giggly), (Aromas: Earthy, Sweet & Woody)",,,,,,,,,,,,,,,,,,,
,Cherry Cookies - Flower [Phat Panda],Cherry Cookies - Flower [Phat Panda],true,,phat panda,,cherry cookies,,Flower,,,,,"Cherry Pie x Girl Scout Cookies - (Flavors: Woody, Sweet & Tangy), (Effects: Creative, Euphoria & Mellow), (Aromas: Pungent, Earthy & Sweet)",,,,,,,,,,,,,,,,,,,
,Cherry Mintz X Redneck Wedding - Flower [Phat Panda],Cherry Mintz X Redneck Wedding - Flower [Phat Panda],true,,phat panda,,cherry mintz x redneck wedding,,Flower,,,,,"(Flavors: Sweet, Peppery & Earthy), (Effects: Relaxing, Calming & Hungry), (Aromas: Earthy, Spicy & Herbal)",,,,,,,,,,,,,,,,,,,
,Cherrylicious - Flower [Phat Panda],Cherrylicious - Flower [Phat Panda],true,,phat panda,,cherrylicious,,Flower,,,,,"Forbidden Fruit x Cherry Temple (Flavors: Berry, Cherry & Earthy), (Effects: Focus, Creative, Relaxing), (Aromas: Cherry, Pine, Skunky & Woody)",,,,,,,,,,,,,,,,,,,
,Cherryzzz - Flower [Phat Panda],Cherryzzz - Flower [Phat Panda],true,,phat panda,,cherryzzz,,Flower,,,,,"Cherry Cookies x Orange Zkittlez (Flavors: Candy, Sour & Pine), (Effects: Tingly, Relaxing & Euphoric), (Aromas: Earthy, Fruity & Diesel)",,,,,,,,,,,,,,,,,,,
,Citron - Flower [Phat Panda],Citron - Flower [Phat Panda],true,,phat panda,,Citron,,Flower,,,,,"OG Kush bx - (Flavors: Citrus, Lemon & Sour), (Effects: Happy, Relaxing & Giggly), (Aromas: Citrus,  Sour & Pungent)",,,,,,,,,,,,,,,,,,,
,Colorado Chem - Flower [Phat Panda],Colorado Chem - Flower [Phat Panda],true,,phat panda,,colorado chem,,Flower,,,,,"Afghani x Thai x Chemdawg - (Flavors: Lemon, Mint & Pine), (Effects: Creative, Giggly & Uplifting), (Aromas: Lemon, Gassy & Pungent)",,,,,,,,,,,,,,,,,,,
,Cookies And Cream - Flower [Phat Panda],Cookies And Cream - Flower [Phat Panda],true,,phat panda,,cookies and cream,,Flower,,,,,"Starfighter F2 x Girl Scout Cookies - (Flavors: Nutty, Creamy & Vanilla), (Effects: Euphoria, Relaxing & Uplifting), (Aromas: Earthy, Pungent & Sweet)",,,,,,,,,,,,,,,,,,,
,Cookies N' Cake - Flower [Phat Panda],Cookies N' Cake - Flower [Phat Panda],true,,phat panda,,cookies n' cake,,Flower,,,,,"Cookies & Cream x Wedding Cake (Flavors: Creamy, Nutty & Earthy), (Effects: Euphoria, Relaxing & Motivation), (Aromas: Musky, Earthy & Sweet)",,,,,,,,,,,,,,,,,,,
,Confetti Cake - Flower [Phat Panda],Confetti Cake - Flower [Phat Panda],true,,phat panda,,confetti cake,,Flower,,,,,"Cherry Pie x Secret Cookies - (Flavors: Citrus, Lemon & Herbal), (Effects: Giggly, Sociable & Hungry), (Aromas: Sage, Herbal & Spicy)",,,,,,,,,,,,,,,,,,,
,Cosmic Cherries - Flower [Phat Panda],Cosmic Cherries - Flower [Phat Panda],true,,phat panda,,cosmic cherries,,Flower,,,,,"MAC1 x Cherry Pie - (Flavors: Nutty, Sweet & Vanilla), (Effects: Sociable, Uplifting & Relaxing), (Aromas: Earthy, Fruity & Vanilla)",,,,,,,,,,,,,,,,,,,
,Crash Glow - Flower [Phat Panda],Crash Glow - Flower [Phat Panda],true,,phat panda,,crash glow,,Flower,,,,,"(Grape Pie x Wedding Crashers F2) x Dayglow -  (Flavors: Creamy, Woody & Earthy), (Effects: Drowsy, Hungry & Calming), (Aromas: Woody, Sour & Pine)",,,,,,,,,,,,,,,,,,,
,Cream Puffs - Flower [Phat Panda],Cream Puffs - Flower [Phat Panda],true,,phat panda,,cream puffs,,Flower,,,,,"Whipped Cream x Grateful Puff - Creamy, Spicy & Sweet), (Effects: Calming, Motivation & Uplifting), (Aromas: Pungent, Spicy & Sweet)",,,,,,,,,,,,,,,,,,,
,Dank Draaank - Flower [Phat Panda],Dank Draaank - Flower [Phat Panda],true,,phat panda,,dank draaank,,Flower,,,,,"Purple Punch x Terpeee Slurpee - (Flavors: Sweet, Fruity, & Diesel) - (Effects: Euphoria, Relaxing, & Calming) - (Aromas: Skunky, Gas, & Earthy)",,,,,,,,,,,,,,,,,,,
,Dirty Little Secret - Flower [Phat Panda],Dirty Little Secret - Flower [Phat Panda],true,,phat panda,,dirty little secret,,Flower,,,,,"GMO x Secret OG -  (Flavors: Creamy, Nutty & Gas), (Effects: Hungry, Relaxing & Uplifting), (Aromas: Earthy, Nutty & Gas)",,,,,,,,,,,,,,,,,,,
,Dosidos - Flower [Phat Panda],Dosidos - Flower [Phat Panda],true,,phat panda,,dosidos,,Flower,,,,,"Girls Scout Cookies x Face Off OG - (Flavors: Nutty, Pine & Spicy), (Effects: Uplifting, Euphoria & Relaxing), (Aromas: Earthy, Nutty & Spicy)",,,,,,,,,,,,,,,,,,,
,Dosidos X Redneck Wedding - Flower [Phat Panda],Dosidos X Redneck Wedding - Flower [Phat Panda],true,,phat panda,,dosidos x redneck wedding,,Flower,,,,,"(Flavors: Nutty, Pine & Sweet), (Effects: Drowsy, Hungry & Euphoria), (Aromas: Pungent, Earthy & Sour)",,,,,,,,,,,,,,,,,,,
,Durban Poison - Flower [Phat Panda],Durban Poison - Flower [Phat Panda],true,,phat panda,,durban poison,,Flower,,,,,"African Sativa - (Flavors: Pine, Gassy & Lime), (Effects: Focused, Giggly & Uplifting), (Aromas: Sage, Spicy & Earthy",,,,,,,,,,,,,,,,,,,
,Dutch Delight - Flower [Phat Panda],Dutch Delight - Flower [Phat Panda],true,,phat panda,,dutch delight,,Flower,,,,,"Dutch Treat x Trophy Wife - (Flavors: Lemon, Sour & Citrus), (Effects: Sociable, Uplifting & Hungry),(Aromas: Flowery, Lemon & Peppery)",,,,,,,,,,,,,,,,,,,
,Dutch Treat - Flower [Phat Panda],Dutch Treat - Flower [Phat Panda],true,,phat panda,,dutch treat,,Flower,,,,,"Northern Lights x Skunk x Haze -  (Flavors: Pine, Woody & Sweet), (Effects: Creative, Relaxing & Calming), (Aromas: Pine, Sweet & Pungent)",,,,,,,,,,,,,,,,,,,
,Ego Checker - Flower [Phat Panda],Ego Checker - Flower [Phat Panda],true,,phat panda,,ego checker,,Flower,,,,,"Dosidos x Kush Mintz - (Flavors: Citrus, Mint & Peppery), (Effects: Calming, Sociable & Uplifting), (Aromas: Earthy, Lemon & Spicy)",,,,,,,,,,,,,,,,,,,
,Evergreen Og - Flower [Phat Panda],Evergreen Og - Flower [Phat Panda],true,,phat panda,,evergreen og,,Flower,,,,,"Hollywood Pure Kush x Alpine Kush - (Flavors: Woody, Sour & Pine), (Effects: Giggly, Sociable & Creative), (Aromas: Pine, Woody & Skunky)",,,,,,,,,,,,,,,,,,,
,Ex-Presidents - Flower [Phat Panda],Ex-Presidents - Flower [Phat Panda],true,,phat panda,,ex-presidents,,Flower,,,,,"Point Break x Grandpa's Gun Chest -  (Flavors: Pine, Sweet & Citrus), (Effects: Sleepy, Euphoria & Hungry), (Aromas: Earthy, Pine & Pungent)",,,,,,,,,,,,,,,,,,,
,Ex Wife - Flower [Phat Panda],Ex Wife - Flower [Phat Panda],true,,phat panda,,ex wife,,Flower,,,,,"Ghost OG x Trophy Wife - (Flavors: Candy, Lemon & Sour), (Effects: Giggly, Uplifting & Calming), (Aromas: Citrus, Sweet & Skunky)",,,,,,,,,,,,,,,,,,,
,F**k Yeah (P-91) - Flower [Phat Panda],F**k Yeah (P-91) - Flower [Phat Panda],true,,phat panda,,F**k Yeah (P-91),,Flower,,,,,"Nothern Lights crossed 3x - (Flavors: Citrus, Sweet & Earthy), (Effects: Happy, Euphoric & Drowsy), (Aromas: Peppery, Sweet & Earthy)",,,,,,,,,,,,,,,,,,,
,Face Off Og - Flower [Phat Panda],Face Off Og - Flower [Phat Panda],true,,phat panda,,face off og,,Flower,,,,,"90's cut of OG Kush - (Flavors: Pine, Herbal & Citrus), (Effects: Creative, Hungry & Relaxing), (Aromas: Pungent, Spicy & Earthy)",,,,,,,,,,,,,,,,,,,
,flight plan x Champagne - Flower [Phat Panda],flight plan x Champagne - Flower [Phat Panda],true,,phat panda,,flight plan x Champagne,,Flower,,,,,"(Flavors: Citrus, Herbal & Spicy), (Effects: Calming, Hungry & Relaxing), (Aromas: Peppery, Earthy & Sour)",,,,,,,,,,,,,,,,,,,
,Forbidden Fruit - Flower [Phat Panda],Forbidden Fruit - Flower [Phat Panda],true,,phat panda,,forbidden fruit,,Flower,,,,,"Cherry Pie x Tangie - (Flavors: Citrus, Creamy & Woody), (Effects: Relaxing, Drowsy & Hungry), (Aromas: Pine, Lemon & Sweet)",,,,,,,,,,,,,,,,,,,
,Fried Bananas - Flower [Phat Panda],Fried Bananas - Flower [Phat Panda],true,,phat panda,,fried bananas,,Flower,,,,,"Stardawg Guava x Gelato 41 (Flavors: Citrus, Creamy & Sour), (Effects: Calming, Uplifting & Happy), (Aromas: Sour, Flowery & Citrus)",,,,,,,,,,,,,,,,,,,
,Frosted Cherry Cookies - Flower [Phat Panda],Frosted Cherry Cookies - Flower [Phat Panda],true,,phat panda,,frosted cherry cookies,,Flower,,,,,"Cookies x Fire OG - (Flavors: Herbal, Sweet & Woody), (Effects: Hungry, Relaxing & Uplifting), (Aromas: Earthy, Herbal & Cherry)",,,,,,,,,,,,,,,,,,,
,Fruit Salad - Flower [Phat Panda],Fruit Salad - Flower [Phat Panda],true,,phat panda,,fruit salad,,Flower,,,,,"Forbidden Fruit x Golden Pineapple - (Flavors: Berry, Gassy & Sour), (Effects: Sociable, Energetic & Creative), (Aromas: Earthy, Sweet & Sour)",,,,,,,,,,,,,,,,,,,
,Fugu - Flower [Phat Panda],Fugu - Flower [Phat Panda],true,,phat panda,,fugu,,Flower,,,,,"(G13 x Oregon Funk) x Blue Dot x G13 (Flavors: Peppery, Pine & Sweet), (Effects: Creative, Euphoria & Happy), (Aromas: Skunky, Pungent & Herbal)",,,,,,,,,,,,,,,,,,,
,Garlic Breath - Flower [Phat Panda],Garlic Breath - Flower [Phat Panda],true,,phat panda,,garlic breath,,Flower,,,,,"GMO x Papaya - (Flavors: Peppery, Sage & Woody), (Effects: Hungry, Calming & Drowsy), (Aromas: Woody, Spicy & Pungent)",,,,,,,,,,,,,,,,,,,
,Gary Payton - Flower [Phat Panda],Gary Payton - Flower [Phat Panda],true,,phat panda,,gary payton,,Flower,,,,,"The Y x Snowman - (Flavors: Citrus, Lavender & Peppery), (Effects: Giggly, Relaxing & Euhporic), (Aromas: Spicy, Nutty & Gassy)",,,,,,,,,,,,,,,,,,,
,Gdp X Cherry Temple #5 - Flower [Phat Panda],Gdp X Cherry Temple #5 - Flower [Phat Panda],true,,phat panda,,gdp x cherry temple #5,,Flower,,,,,"(Flavors: Pine, Earthy & Sweet), (Effects: Euphoria, Drowsy & Hungry), (Aromas: Berry, Skunky & Earthy)",,,,,,,,,,,,,,,,,,,
,Gelato - Flower [Phat Panda],Gelato - Flower [Phat Panda],true,,phat panda,,gelato,,Flower,,,,,"Sunset Sherbet x Thin Mint Girl Scout Cookies - (Flavors: Woody, Sweet & Citrus), (Effects: Relaxing, Creative & Uplifting), (Aromas: Spicy , Woody & Citrus)",,,,,,,,,,,,,,,,,,,
,Gg5 - Flower [Phat Panda],Gg5 - Flower [Phat Panda],true,,phat panda,,gg5,,Flower,,,,,"GG #1 x GG #4 - (Flavors: Spicy, Herbal & Gassy), (Effects: Drowsy, Relaxing & Euphoric), (Aromas: Earthy, Pungent & Gassy)",,,,,,,,,,,,,,,,,,,
,ghost OG - Flower [Phat Panda],ghost OG - Flower [Phat Panda],true,,phat panda,,ghost OG,,Flower,,,,,"OG Kush x Afghani Indica - (Flavors: Pine, Sweet & Citrus), (Effects: Relaxing, Drowsy & Euphoric), (Aromas: Pungent, Citrus & Pungent)",,,,,,,,,,,,,,,,,,,
,Gmo - Garlic Cookies - Flower [Phat Panda],Gmo - Garlic Cookies - Flower [Phat Panda],true,,phat panda,,gmo - garlic cookies,,Flower,,,,,"Chemdawg x Cookies - (Flavors: Gassy, Nutty & Sweet), (Effects: Euphoric, Uplfting & Hungry), (Aromas: Nutty, Earthy & Gassy)",,,,,,,,,,,,,,,,,,,
,Gmo X Point Break - Flower [Phat Panda],Gmo X Point Break - Flower [Phat Panda],true,,phat panda,,gmo x point break,,Flower,,,,,"(Flavors: Nutty, Pine, Woody & Sweet), (Effects: Drowsy, Euphoria & Relaxing), (Aromas: Earthy, Coffee & Skunky)",,,,,,,,,,,,,,,,,,,
,Gods gift - Flower [Phat Panda],Gods gift - Flower [Phat Panda],true,,phat panda,,Gods gift,,Flower,,,,,"Grand Daddy Purple x OG Kush - (Flavors: Grape, Woody & Earthy), (Effects: Drowsy, Calming & Tingly), (Aromas: Spicy, Woody & Sweet)",,,,,,,,,,,,,,,,,,,
,Gold Digger - Flower [Phat Panda],Gold Digger - Flower [Phat Panda],true,,phat panda,,gold digger,,Flower,,,,,"Grand Daddy Purple x Trophy Wife - (Flavors: Earthy, Gassy & Peppery), (Effects: Creative, Uplifting & Euphoric), (Aromas: Sweet, Pine & Earthy)",,,,,,,,,,,,,,,,,,,
,Golden lemons - Flower [Phat Panda],Golden lemons - Flower [Phat Panda],true,,phat panda,,Golden lemons,,Flower,,,,,"Lemon Skunk x The OG #18 (Flavors: Citrus, Lemon & Pine), (Effects: Tingly, Creative & Motivation), (Aromas: Citrus, Sour & Earthy)",,,,,,,,,,,,,,,,,,,
,Golden Pineapple - Flower [Phat Panda],Golden Pineapple - Flower [Phat Panda],true,,phat panda,,golden pineapple,,Flower,,,,,"Golden Goat x Pineapple Kush - (Flavors: Citrus, Sweet & Gassy), (Effects: Motivation, Calming & Hungry), (Aromas: Sour, Earthy & Sweet)",,,,,,,,,,,,,,,,,,,
,Golden Shower - Flower [Phat Panda],Golden Shower - Flower [Phat Panda],true,,phat panda,,golden shower,,Flower,,,,,"Cheetah Piss x Trophy Wife -  (Flavors: Pine, Skunky, & Spicy), (Effects: Creative, Euphoria, & Relaxing), (Aromas: Earthy, Pungent, Sweet & Sour)",,,,,,,,,,,,,,,,,,,
,Gorilla Grapes - Flower [Phat Panda],Gorilla Grapes - Flower [Phat Panda],true,,phat panda,,gorilla grapes,,Flower,,,,,"Vino OG x GG #4 - (Flavors: Spicy, Grape & Herbal), (Effects: Drowsy, Relaxing & Euphoric), (Aromas: Gassy, Peppery & Sweet)",,,,,,,,,,,,,,,,,,,
,Gorilla Wife - Flower [Phat Panda],Gorilla Wife - Flower [Phat Panda],true,,phat panda,,gorilla wife,,Flower,,,,,"GG #4 x Trophy Wife - (Flavors: Sour, Woody & Citrus), (Effects: Creative, Euphoria & Drowsy), (Aromas: Woody, Herbal & Pungent)",,,,,,,,,,,,,,,,,,,
,Grandpa'S Rpg - Flower [Phat Panda],Grandpa'S Rpg - Flower [Phat Panda],true,,phat panda,,grandpa's rpg,,Flower,,,,,"Grape Cream Cake x Grandpa's Gun Chest (Flavors: Woody, Earthy, Citrus) - (Effects: Calming, Relaxing, & Euphoria) - (Aromas: Sweet, Fruity, Skunk & Earthy)",,,,,,,,,,,,,,,,,,,
,Grape Balls Of Fire - Flower [Phat Panda],Grape Balls Of Fire - Flower [Phat Panda],true,,phat panda,,grape balls of fire,,Flower,,,,,"Grape Diamonds x Grape Cake x Grape Stomper (Flavors: Berry, Spicy & Earthy), (Effects: Happy, Relaxing & Sociable), (Aromas: Fruity, Berry & Gassy)",,,,,,,,,,,,,,,,,,,
,Grape Candy - Flower [Phat Panda],Grape Candy - Flower [Phat Panda],true,,phat panda,,grape candy,,Flower,,,,,"White Lemon x Purple Pantera - (Flavors: Lemon, Creamy & Sweet), (Effects: Drowsy, Hungry & Relaxing), (Aromas: Sour, Pungent & Earthy)",,,,,,,,,,,,,,,,,,,
